id,infra,name,iso3,Continent_Code,geometry,canal_main,v_out,q_out,v_in,q_in,v_total,q_total
port1260,port,Tampico_Mexico,MEX,NA,POINT (-97.82483356061508 22.249809753048027),Panama,27370455.818943243,57037.623686802486,113336410.25286952,366181.45019203326,140706866.07181275,423219.07387883577
port1310,port,Topolorampo_Mexico,MEX,NA,POINT (-109.0558619570523 25.58916702942682),Panama,568987035.5248696,752992.775176275,160416436.93511143,257357.02222556487,729403472.459981,1010349.7974018399
port1332,port,Tuxpan_Mexico,MEX,NA,POINT (-97.3334154413632 20.95612428198529),Panama,71443.94601850728,5.789319411662901,1434936.4233657562,1732.8180242091635,1506380.3693842634,1738.6073436208264
port1358,port,Veracruz_Mexico,MEX,NA,POINT (-96.1543367647264 19.22121794940443),Panama,268611408.5352311,573947.0397898552,120557168.61871251,107312.95772702382,389168577.15394366,681259.9975168791
port10,port,Agadir_Morocco,MAR,AF,POINT (-9.649161717511673 30.438578346594785),Panama,2698113.782507349,7116.253483185908,3074828.3639012217,2430.506783572018,5772942.146408571,9546.760266757927
port220,port,Casablanca_Morocco,MAR,AF,POINT (-7.578850395884303 33.60660010425234),Panama,237767321.96217152,153648.77811859947,16936490.56336853,6176.375289061208,254703812.52554005,159825.15340766066
port319,port,El Jorf Lasfar_Morocco,MAR,AF,POINT (-8.609401597566807 33.11351890616566),Panama,305922.84042877826,26.79448147029821,60240018.872356676,115902.54443475815,60545941.71278545,115929.33891622844
port459,port,Helsingborg_Sweden,SWE,EU,POINT (12.73910204216621 55.98575725015415),Panama,3416381.611414105,524.7739577633697,334754689.37967825,276910.46398997476,338171070.9910924,277435.23794773815
port670,port,Lulea_Sweden,SWE,EU,POINT (22.250116542366847 65.55560307046646),Panama,1058291.5121478236,946.5574519040397,722718.9210902262,232.67477858950127,1781010.4332380497,1179.232230493541
port908,port,Piraievs_Greece,GRC,EU,POINT (23.603746770045078 37.95244596525885),Panama,193175576.7230336,166503.91691240427,37788778.54695907,81979.4002028017,230964355.26999268,248483.31711520598
port239,port,Chiba Ko_Japan,JPN,AS,POINT (140.05233918787292 35.52513991618921),Panama,26935775.73646277,8305.99700989518,185871143.25040445,322530.11341293575,212806918.98686722,330836.1104228309
port433,port,Hachinohe Ko_Japan,JPN,AS,POINT (141.5108447857201 40.54513127462275),Panama,1925730.582600248,1154.6227092075912,61419776.57086674,125903.72482741292,63345507.15346699,127058.34753662051
port463,port,Higashi-Harima_Japan,JPN,AS,POINT (134.81346927964285 34.730680833545804),Panama,680022968.9485693,123528.12245713608,50606381.501503855,77974.85380458942,730629350.4500731,201502.9762617255
port465,port,Himeji_Japan,JPN,AS,POINT (134.63785896788627 34.7757991513156),Panama,2677189.656452049,1344.6811777337823,9274723.427358784,21346.085161449737,11951913.083810832,22690.76633918352
port466,port,Hiroshima_Japan,JPN,AS,POINT (132.45577508201796 34.3474465774322),Panama,8331316.801490847,962.6304701145314,650361041.3516088,5348853.7368768975,658692358.1530997,5349816.367347012
port468,port,Hitachi_Japan,JPN,AS,POINT (140.61582820359354 36.45195306038733),Panama,838317667.7511904,66429.94960104441,6206290.876525762,6887.7350946990355,844523958.6277162,73317.68469574345
port471,port,Hofu_Japan,JPN,AS,POINT (131.57371762522862 34.02251033207972),Panama,389456.5969139515,323.3086204468186,6145273.665544477,24107.163740936492,6534730.262458429,24430.472361383312
port538,port,Kanda_Japan,JPN,AS,POINT (130.99286330169227 33.82174514927828),Panama,1176516964.05048,193939.21552450015,46184012.260926396,146880.40689650096,1222700976.3114064,340819.6224210011
port548,port,Kashima Ko_Japan,JPN,AS,POINT (140.6899197765725 35.9165624863423),Panama,101953755.8606195,52178.533997032704,71031061.7909358,29067.65195749239,172984817.6515553,81246.18595452509
port555,port,Kawasaki Ko_Japan,JPN,AS,POINT (139.74847050240137 35.50702516990109),Panama,7177105.825971223,11116.800083768087,26838484.998172633,34077.56743757293,34015590.82414386,45194.36752134102
port575,port,Kinuura Ko_Japan,JPN,AS,POINT (136.95343655370723 34.873879735031984),Panama,15056224.390033182,7562.341164818607,7816858.100398177,6075.000024104587,22873082.49043136,13637.341188923194
