id,name,iso3,geometry,lat,lon,export,import,trans,throughput
port1189,Shekou_China,CHN,POINT (113.81033766451579 22.581467615726968),22.581467615726968,113.81033766451579,86731221801.99712,53539705882.09836,43747597740.491585,184018525424.58704
port581,Kobe_Japan,JPN,POINT (135.22932705230667 34.67293988896983),34.67293988896983,135.22932705230667,86286434887.6943,52383927495.12342,34699336714.57117,173369699097.3889
port1069,Qingdao Gang_China,CHN,POINT (120.22261806874693 36.026779053777375),36.026779053777375,120.22261806874693,83731156373.82556,92889877505.62451,51235702498.82117,227856736378.27124
port474,Hong Kong_Hong Kong,HKG,POINT (114.09665194051334 22.335109262829082),22.335109262829082,114.09665194051334,74741205968.32652,146512858678.43054,38879320593.032715,260133385239.7898
port1424,Zeebrugge_Belgium,BEL,POINT (3.212225359193582 51.32626774343623),51.32626774343623,3.212225359193582,72956770734.90369,36398808681.47072,8756258847.122198,118111838263.4966
port664,Los Angeles_U.S.A.,USA,POINT (-118.24378813374709 33.755691934355504),33.755691934355504,-118.24378813374709,70880254787.6487,332603851638.91296,55419729490.75714,458903835917.3188
port481,Houston_U.S.A.,USA,POINT (-95.13978774329904 29.720231142824687),29.720231142824687,-95.13978774329904,69695441090.95074,84443181600.81622,11369354971.600006,165507977663.36697
port446,Hamburg_Germany,DEU,POINT (9.964294337690003 53.51640055798953),53.51640055798953,9.964294337690003,69611068482.62257,65508392071.22534,13392168214.511786,148511628768.3597
port833,Novorossiysk_Russia,RUS,POINT (37.80872150232945 44.72345597849215),44.72345597849215,37.80872150232945,66847094530.18132,8385218097.369086,1937086013.2731442,77169398640.82355
port1417,Yokohama Ko_Japan,JPN,POINT (139.6688122927324 35.427555533441485),35.427555533441485,139.6688122927324,66023926966.80974,22977918701.990414,89559625962.28607,178561471631.08624
